Season,Skaters_URL,Goalies_URL,Lines_URL,Teams_URL
2008-2009,https://moneypuck.com/moneypuck/playerData/seasonSummary/2008/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2008/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2008/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2008/regular/teams.csv
2009-2010,https://moneypuck.com/moneypuck/playerData/seasonSummary/2009/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2009/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2009/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2009/regular/teams.csv
2010-2011,https://moneypuck.com/moneypuck/playerData/seasonSummary/2010/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2010/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2010/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2010/regular/teams.csv
2011-2012,https://moneypuck.com/moneypuck/playerData/seasonSummary/2011/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2011/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2011/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2011/regular/teams.csv
2012-2013,https://moneypuck.com/moneypuck/playerData/seasonSummary/2012/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2012/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2012/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2012/regular/teams.csv
2013-2014,https://moneypuck.com/moneypuck/playerData/seasonSummary/2013/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2013/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2013/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2013/regular/teams.csv
2014-2015,https://moneypuck.com/moneypuck/playerData/seasonSummary/2014/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2014/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2014/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2014/regular/teams.csv
2015-2016,https://moneypuck.com/moneypuck/playerData/seasonSummary/2015/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2015/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2015/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2015/regular/teams.csv
2016-2017,https://moneypuck.com/moneypuck/playerData/seasonSummary/2016/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2016/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2016/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2016/regular/teams.csv
2017-2018,https://moneypuck.com/moneypuck/playerData/seasonSummary/2017/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2017/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2017/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2017/regular/teams.csv
2018-2019,https://moneypuck.com/moneypuck/playerData/seasonSummary/2018/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2018/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2018/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2018/regular/teams.csv
2019-2020,https://moneypuck.com/moneypuck/playerData/seasonSummary/2019/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2019/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2019/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2019/regular/teams.csv
2020-2021,https://moneypuck.com/moneypuck/playerData/seasonSummary/2020/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2020/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2020/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2020/regular/teams.csv
2021-2022,https://moneypuck.com/moneypuck/playerData/seasonSummary/2021/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2021/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2021/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2021/regular/teams.csv
2022-2023,https://moneypuck.com/moneypuck/playerData/seasonSummary/2022/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2022/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2022/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2022/regular/teams.csv
2023-2024,https://moneypuck.com/moneypuck/playerData/seasonSummary/2023/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2023/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2023/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2023/regular/teams.csv
2024-2025,https://moneypuck.com/moneypuck/playerData/seasonSummary/2024/regular/skaters.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2024/regular/goalies.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2024/regular/lines.csv,https://moneypuck.com/moneypuck/playerData/seasonSummary/2024/regular/teams.csv
